crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,average salinity/alkalinity (percentage)
Pigeonpea,26.24,10.69,0.041999999,1,2017,14,Chhattisgarh,91447,53486,16993,Durg,71.80249985,0
Pigeonpea,1.64,0.66000003,0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar,75.18249916,0
Pigeonpea,2.28,0.57999998,0.022,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur,56.99916567,0
Pigeonpea,7.1399999,2.8399999,0.009,4,2017,14,Chhattisgarh,72926,29713,6915,Bilaspur,54.03000001,0.390813256
Pigeonpea,6.77,2.9300001,0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh,52.04333334,0
Pigeonpea,19.17,8.0600004,0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja,48.40749902,0
Pigeonpea,21.389999,23.450001,0.02,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur,68.90083343,0
Pigeonpea,8.6999998,15.66,0,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat,80.17999901,0
Pigeonpea,38.900002,46.68,0.69,9,2017,6,Madhya Pradesh,57518,20108,6518,Chhindwara,79.41922574,0
Pigeonpea,62.5,103,0,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur,68.13916669,0
Pigeonpea,13.7,22.559999,0,11,2017,6,Madhya Pradesh,48504,13250,1833,Seoni / Shivani,0,0
Pigeonpea,18.9,20.889999,0,12,2017,6,Madhya Pradesh,11207,4172,136,Mandla,76.52833408,0
Pigeonpea,12.6,24.07,0,13,2017,6,Madhya Pradesh,20399,17510,506,Sagar,73.02166748,0.026945804
Pigeonpea,36.200001,52.490002,0,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh,61.89583267,0
Pigeonpea,0.059999999,0.090000004,0,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh,49.06750132,0
Pigeonpea,8,5.4000001,0,16,2017,6,Madhya Pradesh,14565,11159,140,Chhatarpur,54.67749903,0.028967587
Pigeonpea,16.700001,27.540001,0.13,17,2017,6,Madhya Pradesh,6615,4493,54,Panna,66.28750013,0.097995568
Pigeonpea,32.900002,22.6,0,18,2017,6,Madhya Pradesh,26124,11848,200,Rewa,61.9616665,0
Pigeonpea,46.200001,59.02,0,19,2017,6,Madhya Pradesh,10828,4735,39,Sidhi,63.49583391,0
Pigeonpea,75,115.28,0.029999999,20,2017,6,Madhya Pradesh,29067,15084,353,Satna,56.90216471,0.077830968
Pigeonpea,39.75,39.68,0.88999999,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol,60.17172201,0
Pigeonpea,20.610001,21.42,3.8800001,26,2017,6,Madhya Pradesh,49982,18447,680,Morena,42.22999998,1.992025151
Pigeonpea,2.73,2.0599999,0,27,2017,6,Madhya Pradesh,28195,14286,258,Bhind,43.91750017,9.704449373
Pigeonpea,2.55,3.8499999,0,28,2017,6,Madhya Pradesh,39595,20470,5622,Indore,61.06583417,0.046443486
Pigeonpea,4.8000002,6.8200002,0,29,2017,6,Madhya Pradesh,35385,17110,4806,Ratlam,68.35583226,5.433769244
Pigeonpea,0.87,0.66000003,0,30,2017,6,Madhya Pradesh,42030,30956,5569,Ujjain,66.88749917,8.159691036
Pigeonpea,3.3,2.47,0,31,2017,6,Madhya Pradesh,43079,20401,6526,Mandsaur,78.37333348,9.485868506
Pigeonpea,9,10.89,0,32,2017,6,Madhya Pradesh,27680,15628,3499,Dewas,54.39000085,1.117636308
Pigeonpea,7.5599999,11.19,0.050000001,33,2017,6,Madhya Pradesh,66096,32417,7376,Dhar,63.63833331,0.253968898
Pigeonpea,8.6000004,8.6099997,0,34,2017,6,Madhya Pradesh,31046,8329,1223,Jhabua,74.4758324,0.118634386
Pigeonpea,14.7,18.469999,0,37,2017,6,Madhya Pradesh,63904,34186,1417,Sehore,68.00749915,0
Pigeonpea,33.700001,34.240002,0,38,2017,6,Madhya Pradesh,40839,23884,876,Raisen,73.76333343,0
Pigeonpea,7.3000002,8.3199997,0,39,2017,6,Madhya Pradesh,23628,20800,801,Vidisha,67.34833415,0
Pigeonpea,28.200001,33.330002,0,40,2017,6,Madhya Pradesh,32640,10643,1553,Betul,58.8583335,0
Pigeonpea,6.1599998,7.4400001,0,41,2017,6,Madhya Pradesh,35199,21501,1209,Rajgarh,63.55250168,0
Pigeonpea,5.0999999,4.2199998,0,42,2017,6,Madhya Pradesh,27278,21798,3008,Shajapur,63.42250168,0
Pigeonpea,18,26.450001,0,43,2017,6,Madhya Pradesh,87707,51050,5087,Hoshangabad,71.77833334,0
Pigeonpea,1.15,0.73000002,0,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam,75.55416708,0
Pigeonpea,2.0699999,1.11,0,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatnam,0,0
Pigeonpea,2.3099999,0.88,0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari,81.10291834,0
