crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,salinity
Pigeonpea,26.24,10.69,0.041999999,1,2017,14,chhattisgarh,91447,53486,16993,durg,168.3659996,0
Pigeonpea,1.64,0.66000003,0,2,2017,14,chhattisgarh,21279,12584,4271,bastar,176.925998,0
Pigeonpea,2.28,0.57999998,0.022,3,2017,14,chhattisgarh,92008,47721,15054,raipur,133.5999976,0
Pigeonpea,7.1399999,2.8399999,0.0089999996,4,2017,14,chhattisgarh,72926,29713,6915,bilaspur,124.938,0.390813256
Pigeonpea,6.77,2.9300001,0,5,2017,14,chhattisgarh,31282,13620,3707,raigarh,117.514,0
Pigeonpea,19.17,8.0600004,0,6,2017,14,chhattisgarh,21139,11878,4438,surguja,108.1539978,0
Pigeonpea,21.389999,23.450001,0.02,7,2017,6,madhya pradesh,62230,30800,2116,jabalpur,159.3860002,0
Pigeonpea,8.6999998,15.66,0,8,2017,6,madhya pradesh,18299,10688,575,balaghat,189.06199759999998,0
Pigeonpea,38.900002,46.68,0.69,9,2017,6,madhya pradesh,57518,20108,6518,chhindwara,185.89515,0
Pigeonpea,62.5,103,0,10,2017,6,madhya pradesh,21631,10429,2037,narsinghpur,158.994,0
Pigeonpea,13.7,22.559999,0,11,2017,6,madhya pradesh,48504,13250,1833,seoni / shivani,NA,NA
Pigeonpea,18.9,20.889999,0,12,2017,6,madhya pradesh,11207,4172,136,mandla,177.174002,0
Pigeonpea,12.6,24.07,0,13,2017,6,madhya pradesh,20399,17510,506,sagar,168.20000194000002,0.026945804
Pigeonpea,36.200001,52.490002,0,14,2017,6,madhya pradesh,10634,9534,115,damoh,144.4959984,0
Pigeonpea,0.059999999,0.090000004,0,15,2017,6,madhya pradesh,8357,3862,98,tikamgarh,115.9400032,0
Pigeonpea,8,5.4000001,0,16,2017,6,madhya pradesh,14565,11159,140,chhatarpur,130.31999766,0.028967587
Pigeonpea,16.700001,27.540001,0.13,17,2017,6,madhya pradesh,6615,4493,54,panna,156.58800036000002,0.097995568
Pigeonpea,32.900002,22.6,0,18,2017,6,madhya pradesh,26124,11848,200,rewa,147.2839996,0
Pigeonpea,46.200001,59.02,0,19,2017,6,madhya pradesh,10828,4735,39,sidhi,150.6420014,0
Pigeonpea,75,115.28,0.029999999,20,2017,6,madhya pradesh,29067,15084,353,satna,135.52716178,0.077830968
Pigeonpea,39.75,39.68,0.88999999,21,2017,6,madhya pradesh,10825,6431,163,shahdol,142.7356784,0
Pigeonpea,NA,NA,NA,22,2017,6,madhya pradesh,27042,12605,467,gwalior,82.1479974,7.497097925
